'Titulo','Local','Horario'
'A Noviça Mais Rebelde','Teatro Santo Agostinho','sábado, às 18h'
'A Bela e a Fera - O musical','Teatro Ruth Escobar - Sala Gil Vicente','sábados, às 15h (exceto 13/06)'
'Classical Queen - Cover Oficial','Teatro Fernando Torres','às 21h'
'PiraPop Park','PiraPop Park','Sábados e Domingos, das 13h às 19h; Quinta (feriado 04/06) das 13h às 19h'
'Caixa 2','Teatro das Artes','Sextas e sábados, às 20h; domingos, às 18h'
'Meno Male','Teatro Renaissance','Sextas às 20h; Sábados às 21h e Domingos às 18h45'
'A Banheira','Teatro Maria Della Costa','Sextas e Sábados às 20h30'
'Afonso Padilha - Stand Up Comedy no Marte Hall SP','Marte Hall','Quintas (11/06, 16, 23 e 30/07), às 21h'
'Rapunzel - O Musical','Teatro Ruth Escobar - Sala Gil Vicente','sábados, às 17h'
'Fritada com Henri Castelli','Teatro Bor','às 21h'
'Back in Hell - AC/DC Cover','Teatro UNICID','às 21h'
'Igor Guimarães em Stand-up de Humor','Teatro Renaissance','Sábado (20/06) às 23h59 e Sexta (18/09) às 23h59'
'Comédia na Paulista','Acústico Comedy','Terças às 20h30 e Quartas (17 e 29/07), às 20h30'
'Desventuras de Um Quarentão com Wagner Rodrigues','Teatro Santa Cruz - Shopping Metrô Santa Cruz','Sábados, às 20h. (exceto 13/06)'
'Elenco Especial - Pelo Avesso Stand Up!','1185 Espetinhos','Sábados (23/05, 06 e 20/06), às 21h.'
'T. Rex - O Dinossauro na Amazônia','Teatro J. Safra','Sábados e domingos, às 15h.'
